dist,x,y
85,37.60803986,55.64373016
80,37.61423111,55.69545746
91,37.61722183,55.59634018
90,37.58113861,55.61047745
91,37.58107376,55.59901047
90,37.58324051,55.60827255
91,37.58880615,55.60331726
85,37.61879349,55.65542603
85,37.61673737,55.65197754
66,37.58621979,55.68722916
68,37.58213425,55.65537262
74,37.57049179,55.65847015
68,37.58147812,55.65239334
68,37.58078766,55.65122223
80,37.60425949,55.69207764
70,37.59827805,55.67929077
91,37.60564423,55.6000824
90,37.6045723,55.62167358
85,37.62068939,55.65293121
68,37.56917191,55.65012741
85,37.60609055,55.6511116
89,37.58992386,55.63628387
91,37.61352158,55.5887146
85,37.61194992,55.64434433
74,37.57107544,55.67150879
91,37.59959793,55.58322144
85,37.61621475,55.65286636
90,37.5930748,55.62349319
91,37.60633469,55.59034348
77,37.65496063,55.57852936
90,37.58499908,55.60830688
68,37.61147308,55.66258621
68,37.59589767,55.66008759
70,37.59058762,55.66975021
74,37.56813049,55.66581726
74,37.57289886,55.66791534
85,37.61233521,55.66750717
70,37.59545517,55.68432999
90,37.5900116,55.60824203
85,37.60796738,55.66962433
74,37.55114365,55.66568375
91,37.58640289,55.60303497
80,37.60093689,55.69313812
90,37.58681488,55.62236404
91,37.58675003,55.5962944
74,37.56919861,55.67120361
68,37.58511734,55.6613121
85,37.61203766,55.65605164
74,37.5644455,55.67332077
74,37.57368851,55.67314148
70,37.59597778,55.67399979
66,37.58184433,55.69034958
68,37.5764389,55.65069962
77,37.64453125,55.58017349
66,37.57747269,55.67337036
68,37.60020065,55.64432144
85,37.61819077,55.6427536
70,37.59152222,55.66744232
70,37.60216522,55.67427063
77,37.64549255,55.58382034
68,37.59947968,55.66163635
80,37.60549927,55.69083023
66,37.58404541,55.68789673
91,37.59081268,55.59508514
66,37.58808899,55.68725967
77,37.63985825,55.59017563
74,37.57687759,55.66540527
74,37.57572174,55.66529465
85,37.61812973,55.64468765
85,37.61636734,55.65089417
74,37.56927109,55.67380142
66,37.56051254,55.681427
70,37.58039093,55.67656326
80,37.60571671,55.6922226
70,37.60548019,55.67604065
68,37.56795883,55.65079117
91,37.59936523,55.5962677
90,37.60050583,55.61994934
77,37.64845657,55.57830048
91,37.59830475,55.5819664
68,37.5708313,55.65356827
66,37.57740784,55.67941666
85,37.6189003,55.64606094
66,37.58541489,55.68481445
91,37.58163834,55.59969711
80,37.61124802,55.69041061
70,37.60280228,55.67720795
91,37.60332489,55.59423828
66,37.58196259,55.6801033
85,37.62098694,55.65861511
68,37.57775879,55.6581955
80,37.60909271,55.69042969
70,37.60067368,55.67687988
80,37.60980988,55.69033051
70,37.58911514,55.66716385
70,37.59658051,55.67162323
66,37.58413696,55.68140793
68,37.57585526,55.65936279
70,37.61354828,55.68130493
66,37.57873917,55.68219376
74,37.5618248,55.65402603
85,37.61837387,55.65850067
77,37.64653397,55.57929611
91,37.61369324,55.59197998
68,37.59867096,55.64514923
85,37.61653137,55.65920639
80,37.61274719,55.69648743
68,37.59076691,55.6568222
85,37.61399841,55.65727234
74,37.57186508,55.65836716
74,37.56531525,55.66008759
66,37.58686829,55.68799591
66,37.56896591,55.6810379
90,37.59296799,55.61299896
77,37.64093781,55.59179306
80,37.6132431,55.69766617
68,37.60458374,55.64585114
89,37.59180832,55.63533401
66,37.5733223,55.68119049
91,37.59091187,55.60451508
85,37.61724091,55.65594864
91,37.60887527,55.59109497
74,37.55186081,55.66366577
66,37.56990051,55.67650986
89,37.60102463,55.63423538
90,37.59814072,55.6135788
70,37.59990311,55.68610382
68,37.583004,55.64944839
68,37.57116318,55.65317535
68,37.57424545,55.65406036
68,37.57651901,55.65304947
68,37.58348083,55.65011215
77,37.65297318,55.5774765
68,37.5827713,55.66424179
68,37.57453537,55.65742111
66,37.58745193,55.68680573
85,37.61893082,55.66696548
70,37.59396362,55.66833115
77,37.63330078,55.58164215
77,37.65463638,55.58281326
74,37.57006073,55.66937256
66,37.5813446,55.68455887
