id,dist,x,y
196,76,37.677182,55.582619
197,89,37.607553,55.629781
198,98,37.667698,55.78381
199,30,37.493028,55.870695
200,61,37.720021,55.73238
201,64,37.742154,55.7061
202,104,37.66792,55.791102
203,102,37.523755,55.751075
204,63,37.792928,55.715435
205,63,37.787668,55.713457
206,55,37.820108,55.697855
207,57,37.775638,55.708399
208,63,37.792975,55.718829
209,57,37.75823,55.698716
210,59,37.753892,55.68432
211,57,37.757081,55.709593
212,59,37.741288,55.674993
213,57,37.770975,55.707234
214,59,37.760614,55.67741
215,55,37.80481,55.717562
216,58,37.689768,55.757425
217,58,37.70335,55.744886
218,58,37.701022,55.757412
219,55,37.806399,55.713015
220,61,37.745399,55.731239
221,59,37.769799,55.672296
222,57,37.769059,55.702636
223,57,37.770913,55.713073
224,65,37.666184,55.729366
225,64,37.736187,55.69483
226,64,37.740062,55.715029
227,57,37.772799,55.697168
228,65,37.675301,55.707828
229,64,37.736839,55.717598
230,62,37.699503,55.657485
231,60,37.713485,55.651984
232,60,37.72048,55.643605
233,65,37.672197,55.706506
234,62,37.719671,55.684058
235,59,37.750183,55.669661
236,57,37.788581,55.70668
237,58,37.691506,55.760598
238,64,37.741,55.701239
239,58,37.711706,55.767494
240,58,37.721254,55.747223
241,62,37.729363,55.688169
242,59,37.75336,55.675349
243,63,37.76529,55.730175
244,57,37.787241,55.700252
245,64,37.735437,55.717322
246,62,37.727064,55.680343
247,55,37.81848,55.697445
248,63,37.778266,55.727502
249,59,37.810452,55.674772
250,62,37.722442,55.670273
251,59,37.768899,55.671468
252,60,37.737486,55.643823
253,60,37.748498,55.647029
254,60,37.713907,55.651124
255,67,37.537704,55.689229
256,74,37.557692,55.665051
257,66,37.570968,55.682217
258,68,37.606018,55.66041
259,72,37.524951,55.663587
260,67,37.539442,55.688224
261,74,37.559724,55.652235
262,69,37.532198,55.636499
263,60,37.718832,55.643584
264,75,37.53913,55.59068
265,60,37.735912,55.650713
266,69,37.515137,55.64235
267,59,37.74238,55.67846
268,67,37.555324,55.698627
269,67,37.548891,55.695269
270,67,37.551367,55.695813
271,60,37.732021,55.648623
272,60,37.736159,55.644147
273,69,37.535585,55.645685
274,73,37.482566,55.644254
275,71,37.54237,55.681972
276,66,37.585919,55.691978
277,69,37.519305,55.651052
278,66,37.564412,55.684197
279,75,37.540808,55.594084
280,75,37.516907,55.598105
281,69,37.516519,55.637748
282,71,37.521726,55.680011
283,67,37.547636,55.691573
284,72,37.548941,55.668905
285,75,37.517208,55.606738
286,75,37.542287,55.599655
287,69,37.52555,55.645967
288,67,37.548843,55.68487
289,74,37.556594,55.676168
290,66,37.568387,55.678202
291,67,37.572533,55.706797
292,74,37.563846,55.669386
293,66,37.586364,55.685945
294,75,37.524368,55.601468
295,68,37.596974,55.660273
296,70,37.595399,55.667839
297,70,37.59848,55.685026
298,70,37.596921,55.681649
299,68,37.584042,55.646269
300,68,37.580237,55.656997
301,68,37.599704,55.649571
302,68,37.596698,55.644408
303,68,37.576893,55.652307
304,70,37.601734,55.675341
305,66,37.562045,55.680573
306,70,37.590078,55.67177
307,68,37.578974,55.656084
308,75,37.54693,55.614376
309,75,37.530062,55.610475
310,71,37.543394,55.677016
311,60,37.767482,55.663702
312,60,37.764713,55.660071
313,75,37.541764,55.608081
314,75,37.513286,55.606932
315,75,37.528697,55.603806
316,60,37.774557,55.665374
317,69,37.547132,55.641893
318,55,37.855112,55.697168
319,60,37.750493,55.655079
320,60,37.747415,55.649808
321,69,37.537139,55.648181
322,75,37.552761,55.606081
323,55,37.860302,55.682577
324,75,37.533548,55.600264
325,55,37.849793,55.689193
326,55,37.862304,55.686497
327,60,37.761962,55.650695
328,55,37.846778,55.687387
329,60,37.754972,55.656555
330,69,37.534406,55.63432
331,55,37.855391,55.680497
332,75,37.528661,55.610184
333,55,37.814686,55.699735
334,73,37.503925,55.627005
335,73,37.509355,55.632912
336,73,37.484731,55.621268
337,75,37.517706,55.599246
338,73,37.407168,55.74558
339,75,37.542278,55.607239
340,69,37.523582,55.626565
341,75,37.540484,55.59236
342,60,37.745381,55.660191
343,60,37.757702,55.666565
344,59,37.760564,55.669351
345,60,37.77571,55.659744
346,56,37.796868,55.631656
347,59,37.789593,55.667751
348,59,37.777998,55.666878
349,75,37.55419,55.60588
350,75,37.520477,55.60724
351,53,37.577201,55.740317
352,53,37.560259,55.723941
353,53,37.56971,55.723486
354,53,37.595637,55.746933
355,102,37.56814,55.756547
356,102,37.569683,55.76866
357,106,37.590638,55.774456
358,102,37.588041,55.768294
359,53,37.575102,55.719412
360,106,37.596998,55.785158
361,100,37.630125,55.787539
362,98,37.642255,55.773349
363,93,37.640365,55.759526
364,93,37.65558,55.760505
365,93,37.677712,55.770752
366,69,37.539772,55.637133
367,93,37.707141,55.773486
368,105,37.676847,55.745193
369,105,37.671396,55.728999
370,105,37.68464,55.735309
371,105,37.652045,55.737766
372,97,37.63719,55.743654
373,97,37.629695,55.735176
374,97,37.623448,55.724218
375,97,37.626743,55.728101
376,53,37.59072,55.732733
377,93,37.648667,55.763238
378,98,37.669738,55.784374
379,97,37.626074,55.743102
380,98,37.662665,55.778436
381,34,37.593082,55.89136
382,34,37.6102,55.889761
383,36,37.581858,55.900672
384,45,37.651121,55.874627
385,39,37.612204,55.795916
386,34,37.590388,55.901656
387,34,37.612585,55.891093
388,43,37.654691,55.852113
389,34,37.593917,55.894307
390,35,37.5868,55.81769
391,35,37.594193,55.815133
392,34,37.598666,55.894421
393,34,37.605735,55.894785
394,41,37.610022,55.865441
395,39,37.60056,55.795426
396,41,37.614158,55.857163
397,41,37.609648,55.872123
398,44,37.648108,55.883883
399,44,37.667425,55.885579
400,31,37.65286,55.821751
401,38,37.581798,55.845283
402,31,37.640289,55.817719
403,44,37.67093,55.889394
404,45,37.623911,55.876686
405,45,37.630078,55.876027
406,44,37.657287,55.890472
407,38,37.591467,55.831196
408,43,37.635908,55.850781
409,37,37.680577,55.872598
410,33,37.660516,55.868407
411,32,37.590816,55.883211
412,32,37.579336,55.880133
413,40,37.633718,55.818607
414,32,37.580016,55.875439
415,45,37.642691,55.875131
416,31,37.641928,55.807066
417,33,37.66271,55.874365
418,42,37.663801,55.83169
419,37,37.688807,55.879576
420,41,37.587545,55.865836
421,46,37.695939,55.864793
422,37,37.698788,55.884174
423,46,37.688281,55.851394
424,44,37.66413,55.891295
425,34,37.619222,55.8884
426,44,37.658881,55.890695
427,34,37.590245,55.899478
428,41,37.589072,55.872905
429,37,37.696561,55.876099
430,37,37.694084,55.8843
431,33,37.670866,55.866433
432,41,37.604983,55.86027
433,41,37.596334,55.863526
434,34,37.635706,55.895207
435,45,37.642589,55.867713
436,41,37.608692,55.868788
437,34,37.607918,55.888292
438,41,37.592453,55.861527
439,35,37.575163,55.824946
440,34,37.616216,55.897285
441,41,37.619304,55.858718
442,44,37.652353,55.878943
443,35,37.585415,55.82594
444,41,37.619508,55.865371
445,45,37.618355,55.877574
446,36,37.566767,55.904003
447,46,37.711363,55.877297
448,46,37.698427,55.866445
449,33,37.657266,55.866114
450,43,37.659334,55.853709
451,46,37.714999,55.877726
452,39,37.610452,55.80306
453,39,37.621622,55.79381
454,43,37.631735,55.853723
455,2,37.815758,55.796135
456,96,37.821136,55.81893
457,96,37.792382,55.814816
458,96,37.759787,55.806644
459,7,37.776908,55.803186
460,7,37.801055,55.808806
461,2,37.815581,55.799952
462,7,37.822136,55.808025
463,95,37.728622,55.813647
464,95,37.728624,55.817358
465,104,37.695666,55.783343
466,99,37.757135,55.828905
467,95,37.697064,55.816387
468,96,37.808078,55.813581
469,101,37.727595,55.80368
470,3,37.826527,55.775884
471,104,37.696627,55.794892
472,95,37.724368,55.814192
473,95,37.720354,55.809501
474,101,37.716885,55.801866
475,7,37.767692,55.803259
476,3,37.835535,55.773183
477,1,37.834804,55.72441
478,4,37.790635,55.801758
479,3,37.837974,55.757056
480,6,37.804404,55.75399
481,1,37.811632,55.724008
482,5,37.819334,55.746367
483,3,37.837933,55.755381
484,4,37.796319,55.799659
485,6,37.801837,55.757061
486,96,37.789415,55.812344
487,8,37.731902,55.762914
488,6,37.783195,55.763822
489,4,37.781189,55.793549
490,6,37.786589,55.754023
491,7,37.788295,55.807604
492,3,37.82739,55.754457
493,1,37.82766,55.742514
494,4,37.785321,55.797647
495,8,37.737818,55.7633
496,101,37.738525,55.797
497,6,37.782041,55.749798
498,97,37.632768,55.728155
499,33,37.669726,55.870537
500,13,37.482391,55.714579
501,12,37.428773,55.721672
502,13,37.474719,55.706744
503,13,37.47581,55.707911
504,13,37.448483,55.675799
505,13,37.456995,55.683832
506,13,37.460421,55.707582
507,13,37.454659,55.674151
508,13,37.446002,55.677486
509,6,37.775682,55.758919
510,8,37.733256,55.768574
511,4,37.779514,55.788753
512,4,37.773857,55.796826
513,2,37.811868,55.791717
514,4,37.80082,55.796294
515,96,37.815893,55.816809
516,1,37.819473,55.736822
517,6,37.762567,55.741356
518,5,37.803433,55.750591
519,5,37.810674,55.746502
520,5,37.820916,55.746343
521,5,37.782152,55.742089
522,5,37.822524,55.754889
523,1,37.806249,55.724448
524,1,37.81437,55.720054
525,99,37.752986,55.827205
526,1,37.829478,55.721104
527,3,37.829177,55.769936
528,96,37.778904,55.810849
529,6,37.778294,55.746936
530,3,37.826951,55.763148
531,1,37.827389,55.73315
532,101,37.730967,55.795609
533,99,37.75397,55.820145
534,96,37.818367,55.81329
535,96,37.828032,55.82451
536,96,37.808793,55.819459
537,96,37.817683,55.828058
538,96,37.821053,55.828027
539,96,37.814753,55.828931
540,8,37.732343,55.78198
541,7,37.779592,55.808077
542,72,37.49828,55.64618
543,107,37.52924,55.778221
544,66,37.565868,55.692333
545,46,37.720256,55.880997
546,3,37.825452,55.768966
547,63,37.789087,55.712952
548,32,37.593662,55.881314
549,65,37.673216,55.7157
550,98,37.674832,55.783126
551,105,37.685878,55.739746
552,54,37.621741,55.735694
553,19,37.535131,55.800892
554,27,37.465177,55.873455
555,94,37.574365,55.784846
556,27,37.468499,55.868226
557,29,37.573567,55.842376
558,20,37.555895,55.873801
559,24,37.537906,55.895488
560,26,37.535393,55.836734
561,29,37.560321,55.812696
562,20,37.55682,55.862997
563,103,37.573843,55.798117
564,26,37.541826,55.84181
565,21,37.519834,55.816777
566,26,37.526989,55.836174
567,29,37.560575,55.808666
568,94,37.576293,55.786473
569,103,37.559989,55.798171
570,22,37.562151,55.881771
571,21,37.484362,55.837815
572,21,37.515274,55.824669
573,19,37.548266,55.805926
574,22,37.566216,55.862679
575,24,37.522942,55.884233
576,20,37.542109,55.871702
577,25,37.514066,55.879122
578,20,37.561669,55.868483
579,30,37.490009,55.871915
580,23,37.507913,55.854828
581,30,37.489713,55.866225
582,19,37.541429,55.803934
583,26,37.523881,55.824922
584,30,37.502074,55.855402
585,23,37.507641,55.853615
586,25,37.534149,55.867423
587,25,37.520674,55.874507
588,26,37.533671,55.838663
589,24,37.524494,55.889523
590,19,37.515853,55.807802
591,103,37.576165,55.805957
592,94,37.558556,55.785361
593,107,37.525454,55.799164
594,28,37.508309,55.799792
595,21,37.504837,55.81746
596,23,37.510283,55.862226
597,21,37.506948,55.81801
598,23,37.516615,55.846849
599,28,37.505634,55.795978
600,21,37.49108,55.829143
601,21,37.490999,55.819836
602,24,37.521849,55.882193
603,26,37.55341,55.844677
604,20,37.539786,55.875536
605,29,37.570072,55.83318
606,29,37.567427,55.824062
607,30,37.503022,55.862459
608,22,37.560906,55.886035
609,20,37.541594,55.875476
610,25,37.492465,55.882516
611,103,37.574191,55.797254
612,30,37.491682,55.870003
613,20,37.554394,55.874915
614,15,37.525243,55.713766
615,34,37.625184,55.895394
616,105,37.677748,55.733577
617,72,37.526173,55.661015
618,86,37.699312,55.619051
619,100,37.624742,55.772294
620,102,37.540257,55.759718
621,89,37.614915,55.627809
622,64,37.744656,55.701004
623,5,37.792227,55.746448
624,78,37.76785,55.640754
625,82,37.682056,55.634713
626,87,37.738542,55.607927
627,82,37.661159,55.641741
628,79,37.66064,55.719605
629,18,37.457294,55.695536
630,9,37.571663,55.7487
631,52,37.421404,55.847503
632,50,37.463517,55.779345
633,52,37.401183,55.84534
634,49,37.398362,55.801907
635,49,37.465466,55.687616
636,49,37.394127,55.80927
637,51,37.45569,55.793033
638,52,37.437777,55.84859
639,48,37.444153,55.856159
640,48,37.430316,55.855632
641,49,37.394454,55.802476
642,48,37.438655,55.859996
643,52,37.461821,55.840595
644,47,37.449736,55.823044
645,48,37.410016,55.851783
646,47,37.458958,55.813871
647,50,37.484218,55.774703
648,52,37.444353,55.848281
649,48,37.412784,55.853049
650,49,37.400749,55.797087
651,51,37.469588,55.805399
652,7,37.815245,55.803975
653,49,37.396402,55.814475
654,50,37.485076,55.779496
655,51,37.466488,55.804809
656,47,37.455039,55.831072
657,51,37.452287,55.80724
658,65,37.686655,55.702037
659,51,37.47812,55.78996
660,97,37.635404,55.724433
661,52,37.461838,55.839547
662,59,37.614403,55.87091
663,85,37.608339,55.668541
664,90,37.585393,55.616925
665,77,37.654442,55.577209
666,4,37.800345,55.801923
667,15,37.489106,55.698033
668,14,37.470901,55.659981
669,101,37.74233,55.806153
670,53,37.570385,55.729025
671,18,37.456658,55.718478
672,93,37.687431,55.771022
673,106,37.588228,55.779808
674,102,37.555797,55.760036
675,14,37.49281,55.672856
676,60,37.749299,55.6534
677,60,37.756022,55.656955
678,67,37.58287,55.705893
679,55,37.811057,55.703739
680,49,37.406686,55.789437
681,93,37.677963,55.769389
682,100,37.641985,55.780131
683,102,37.597882,55.762033
684,93,37.69374,55.775238
685,34,37.56112,55.757587
686,44,37.676996,55.891829
687,9,37.562915,55.7463
688,11,37.423474,55.732323
689,16,37.458042,55.671079
690,17,37.483288,55.765873
691,17,37.490422,55.765523
692,17,37.481214,55.764531
693,17,37.509383,55.753152
694,17,37.508795,55.754163
695,15,37.503777,55.701282
696,15,37.503847,55.703281
697,18,37.467578,55.721364
698,84,37.687656,55.68215
699,81,37.738139,55.623087
700,81,37.737594,55.62837
701,89,37.596325,55.63506
702,91,37.597132,55.588785
703,103,37.544538,55.804527
704,79,37.517877,55.812419
705,63,37.790227,55.72346
706,58,37.690263,55.75759
707,65,37.675772,55.708035
708,59,37.810052,55.674919
709,59,37.809722,55.674422
710,72,37.523984,55.663132
711,71,37.522878,55.678122
712,72,37.54904,55.669956
713,102,37.569662,55.767421
714,66,37.571564,55.690156
715,65,37.672824,55.71334
716,89,37.61404,55.624974
717,82,37.674764,55.640823
718,82,37.676418,55.634125
719,82,37.680105,55.633899
720,50,37.466639,55.779613
721,50,37.466423,55.782289
722,50,37.467193,55.780813
