id,dist,x,y
127,41,37.608874,55.869889
128,62,37.721847,55.671458
129,2,37.812324,55.792932
130,19,37.553507,55.799315
131,55,37.841513,55.700247
132,93,37.649907,55.7637
133,5,37.794904,55.748792
134,41,37.598343,55.87001
135,45,37.641054,55.875987
136,20,37.542558,55.870523
137,72,37.518187,55.661446
138,104,37.682478,55.791473
139,21,37.514846,55.820684
140,4,37.790436,55.794101
141,37,37.684,55.86549
142,57,37.760754,55.699618
143,55,37.80817,55.712027
144,41,37.614406,55.87089
145,55,37.821752,55.693494
146,1,37.83212,55.72696
147,75,37.523007,55.601758
148,106,37.595795,55.780159
149,93,37.65166,55.755764
150,94,37.584477,55.781466
151,16,37.470901,55.659981
152,104,37.676586,55.785276
153,89,37.60168,55.625718
154,29,37.57149,55.818611
155,25,37.49479,55.88147
156,99,37.761705,55.823483
157,24,37.525479,55.890456
158,89,37.60822,55.627878
159,71,37.535587,55.671978
160,85,37.617566,55.650543
161,63,37.769258,55.723762
162,2,37.815762,55.795669
163,11,37.40747,55.742812
164,19,37.515166,55.808115
165,33,37.6763,55.859568
166,37,37.693196,55.875166
167,96,37.817968,55.815358
168,69,37.519218,55.640628
169,73,37.506791,55.627727
170,102,37.574222,55.769805
171,83,37.626113,55.662215
172,53,37.594716,55.743091
173,3,37.829617,55.771272
174,52,37.442781,55.846657
175,46,37.725149,55.877769
176,57,37.764156,55.711971
177,89,37.607628,55.635163
178,97,37.62661,55.73406
179,23,37.515754,55.862512
180,2,37.813366,55.800465
181,48,37.441813,55.865378
182,41,37.617597,55.867263
183,42,37.652232,55.837963
184,39,37.615156,55.787354
185,9,37.548429,55.741434
186,3,37.82316,55.758611
187,68,37.582874,55.663578
188,11,37.365185,55.787416
189,33,37.658775,55.868617
190,26,37.525845,55.837854
191,23,37.522957,55.860191
192,41,37.586886,55.854765
193,6,37.78432,55.758658
194,9,37.559246,55.747861
195,15,37.508819,55.696377
196,66,37.592578,55.690876
197,99,37.757411,55.826903
198,9,37.56888,55.749416
199,4,37.796481,55.789642
200,44,37.643081,55.881264
201,74,37.562557,55.651792
202,55,37.853214,55.680443
203,64,37.740305,55.710802
204,17,37.502235,55.748329
205,86,37.715803,55.626834
206,60,37.740359,55.645743
207,55,37.821918,55.708307
208,7,37.816163,55.806059
209,62,37.727667,55.68795
210,50,37.473426,55.782835
211,59,37.749784,55.67088
212,26,37.541152,55.840926
213,96,37.794856,55.812204
214,50,37.466625,55.78765
215,59,37.791642,55.671854
216,18,37.478944,55.737041
217,8,37.736308,55.763282
218,102,37.581172,55.773273
219,57,37.770264,55.703323
220,73,37.493574,55.622265
221,90,37.604864,55.61852
222,102,37.595816,55.760342
223,81,37.75052,55.615538
224,60,37.74497,55.659352
225,93,37.704095,55.771801
226,68,37.580219,55.64929
227,36,37.575811,55.900435
228,66,37.564175,55.679889
229,8,37.733377,55.761276
230,29,37.570123,55.830386
231,25,37.493481,55.883442
232,1,37.821305,55.722201
233,3,37.837927,55.765459
234,75,37.517122,55.60844
235,63,37.760423,55.727469
236,60,37.75083,55.64798
237,83,37.647698,55.662794
238,104,37.684324,55.791223
239,95,37.704797,55.811694
240,71,37.531152,55.687245
241,24,37.525526,55.882485
242,96,37.817932,55.821374
243,75,37.536314,55.616541
244,95,37.703587,55.812128
245,75,37.537785,55.592171
246,79,37.663949,55.703485
247,49,37.403198,55.812747
248,87,37.727104,55.607583
249,16,37.467609,55.673199
250,29,37.576339,55.839853
251,6,37.785891,55.764364
252,62,37.726078,55.678386
253,12,37.402923,55.723359
254,81,37.745037,55.627555
255,91,37.609916,55.599051
256,55,37.854499,55.698008
257,3,37.828955,55.75367
258,20,37.558957,55.871498
259,103,37.583443,55.79332
260,105,37.655336,55.733004
261,24,37.525175,55.883835
262,41,37.618232,55.866399
263,32,37.588992,55.884901
264,89,37.590472,55.635264
265,25,37.533988,55.865149
266,41,37.611547,55.852773
267,74,37.57335,55.661993
268,98,37.668697,55.779737
269,23,37.516039,55.850566
270,36,37.571008,55.892564
271,4,37.793751,55.804544
272,102,37.520346,55.758472
273,7,37.78326,55.80847
274,19,37.545266,55.798151
275,39,37.620298,55.798895
276,29,37.570548,55.84787
277,15,37.494234,55.697054
278,16,37.469974,55.670799
279,73,37.486266,55.624402
280,93,37.65264,55.754035
281,88,37.651176,55.621182
282,102,37.520794,55.756305
283,5,37.807284,55.751242
284,65,37.671431,55.730087
285,21,37.486694,55.836006
286,16,37.462446,55.670299
287,107,37.511931,55.782888
288,71,37.539166,55.689938
289,91,37.615252,55.598139
290,81,37.758372,55.61929
291,87,37.742776,55.601058
292,59,37.793917,55.634407
293,57,37.774303,55.706111
294,55,37.859086,55.681198
295,31,37.637697,55.806754
296,46,37.695452,55.852494
297,72,37.497381,55.646795
298,19,37.55622,55.798302
299,62,37.723976,55.689828
300,97,37.630408,55.746421
301,20,37.550715,55.877003
302,6,37.78528,55.746483
303,30,37.49045,55.863949
304,3,37.828627,55.771293
305,2,37.81367,55.796449
306,8,37.732833,55.774567
307,59,37.767099,55.679564
308,74,37.558804,55.677186
309,4,37.786637,55.797763
310,4,37.813482,55.800443
311,25,37.522057,55.875566
312,65,37.684083,55.701834
313,71,37.520292,55.681531
