id,dist,seats,x,y
56,51,25,37.4943827221794380,55.7935946617290240
57,51,14,37.4917097933397440,55.7947612698619220
58,51,16,37.4911200222425190,55.7943788306658920
59,51,50,37.4903794752185000,55.7947296845020000
60,51,10,37.4870132366049660,55.7973707444167460
61,95,48,37.7183130000000020,55.8117947736516130
62,68,70,37.5832360216932600,55.6618641743404860
63,38,100,37.6007507740932000,55.8255072570794000
64,51,70,37.4616691099235000,55.8060307318284000
65,93,34,37.6796092249489480,55.7654545529708440
66,102,43,37.5974963407965000,55.7600158552018000
67,106,36,37.6025645395634670,55.7641349597743460
68,106,580,37.6029091881872000,55.7646312620702000
69,102,40,37.5974515502657600,55.7595804013477970
70,102,24,37.5974515502657600,55.7595804013477970
71,102,50,37.5966857874934060,55.7607246788786950
72,102,25,37.5957413799051070,55.7623475166869940
73,102,40,37.5957697906215100,55.7623448082723950
74,102,49,37.5955274330201000,55.7625332797137000
75,102,45,37.5950099999999880,55.7629777594389400
76,102,14,37.5939788100130490,55.7634016427034070
77,8,20,37.7319070325922000,55.7651529466639000
78,69,159,37.5348335574904440,55.6491433589836500
79,103,25,37.5838783028694290,55.7943689366615420
80,103,95,37.5833655849056000,55.7958115839881000
81,103,67,37.5813921915117000,55.8060548500850000
82,71,34,37.5479780000000000,55.6807130000000000
83,71,7,37.5527200380452370,55.6834539420314480
84,97,22,37.6338951479941390,55.7310802519936600
85,97,124,37.6315278278139120,55.7308310225768440
86,97,35,37.6324285691260410,55.7302364426618620
87,80,36,37.6224126308464120,55.7008837507206990
88,80,30,37.6221058061640580,55.6932343035147850
89,91,70,37.5992155572757700,55.5839403226586700
90,51,45,37.4628707395619000,55.8085751256853000
91,102,10,37.5857727006965310,55.7698375543479730
92,79,40,37.6649449656868710,55.7122875580237820
93,71,4,37.5291667803180360,55.6888680628134690
94,71,8,37.5291667803180360,55.6888680628134690
95,71,10,37.5291667803180360,55.6888680628134690
96,71,73,37.5296230000000000,55.6891880000000000
97,71,38,37.5135870000000080,55.6800167354262640
98,16,60,37.4951202626655000,55.6674110893323000
99,16,30,37.4909802590976000,55.6674481430433000
100,94,26,37.5749800416635000,55.7766235021973000
101,53,4,37.5874647117225000,55.7437860579185000
102,46,90,37.6997853853092000,55.8595184059192000
103,1,220,37.8199150000000090,55.7374447520296390
104,6,58,37.7744327916449550,55.7594758786538090
105,6,18,37.7749759116825670,55.7570001666158820
106,6,40,37.7805488339980830,55.7562991294250520
107,6,14,37.7835476569698510,55.7509928477630580
108,6,11,37.7847958491833040,55.7621666056465770
109,6,100,37.7914091573784000,55.7534053233054000
110,74,30,37.5550580000000100,55.6783857349559450
111,72,20,37.5438127809903580,55.6663915933472850
112,72,95,37.5180036349978320,55.6533652246047480
113,69,80,37.5080353979793980,55.6437135957254720
114,105,200,37.6706346498552000,55.7310654222888000
115,105,158,37.6770438528807000,55.7294040645839000
116,105,150,37.6793250070634000,55.7285038812421000
117,57,196,37.7568700000000060,55.7044797424885370
118,57,120,37.7571040000000050,55.7095767439619320
119,57,220,37.7872589999999920,55.7055427427957710
120,55,4,37.8087371840308110,55.7081654062789160
121,28,100,37.5154509999999920,55.7982517697025390
122,28,60,37.4936517702172000,55.8087560004337000
123,28,45,37.4944730388843000,55.8083656113848000
124,53,50,37.6086254134870000,55.7485492763152000
125,53,40,37.6082388620497000,55.7473126410773000
126,87,120,37.7370649999999940,55.6084957148672100
127,105,55,37.6615990000000000,55.7343698036259000
128,105,42,37.6639183984826000,55.7328233638176000
129,105,30,37.6638515952956610,55.7325921000771910
130,102,100,37.5810151367724000,55.7593381817137000
131,102,70,37.5807967411105000,55.7596478207301000
132,102,45,37.5808294018644700,55.7591481052136400
