31;55853;42881;54283;76785;82549;51561;63894;103169;75786;64079;84098;112633;59531;94352;65732;87536;76692;54824;69024;93338;83279;94152;97392;94252;177421;146842;170579;174634;89373;118278;127369;88817;172913;47381;89340;111190;71706;56837;75608;137903;105963;62839;64151;75637
32;50593;43522;56766;85686;74203;51382;60601;102289;70568;65518;88059;129280;66531;73390;55198;76879;66057;44987;52181;86457;66415;78887;98368;91774;184731;98966;94453;170669;93935;78944;67834;69225;146805;51780;88000;88628;84248;41097;57229;109704;76600;43441;48655;61624
33;51163;40726;53214;76398;78085;56266;52255;87829;57260;103152;104013;150178;62307;74207;68404;97111;73563;40691;63161;116664;79118;90010;119958;90641;199274;92535;111754;181257;87912;91327;95839;77849;220248;47492;91018;54983;71878;51389;55379;92141;66510;54442;58931;77270
34;45238;46281;55279;120858;69920;53961;49762;85019;57967;87932;87393;123513;61912;71782;63484;82051;64808;39538;61230;116012;84403;85086;125234;79956;149883;89638;91888;144350;82332;85428;105868;71293;193818;42840;93608;55272;95677;47905;57325;77778;68103;45582;58163;65923
35;35842;46479;54006;130981;66086;52770;48421;79134;55256;80078;80636;109037;59857;68919;61467;75511;60881;50557;62750;109502;78817;79494;102651;78425;102244;80045;84939;117999;83984;83045;90008;66495;135401;42055;75869;42921;99267;43661;49916;56535;57297;48068;57829;58577
36;36554;34335;48552;85365;63671;48356;46207;50568;44156;69482;78982;86317;48475;57561;60239;72415;58331;70693;63515;104810;79359;78646;86974;79529;81166;74877;88476;100122;87462;85111;80791;59230;114922;43375;65963;37760;88860;49375;49733;50059;49326;49402;60057;57458
37;31614;35789;66637;66775;56261;47701;48452;52313;48976;56727;69242;70287;52480;59431;62542;65010;52266;71718;65556;107817;86963;80820;86003;81935;88839;75547;86929;98173;94210;97573;80085;74078;89574;48281;66645;37531;83653;45540;47775;45313;48495;52205;60384;55906
38;30268;35389;77537;54103;49869;48203;48995;49383;47846;49219;63166;61649;54264;56817;59430;60628;53567;70794;65363;94458;95877;86637;94023;80546;88087;77392;95132;112962;101232;88875;77060;71879;75161;47252;69225;38253;68369;49995;50162;50124;52069;50875;62488;56991
39;31843;35499;88702;41013;40299;50113;47964;40313;40187;43204;58716;56084;53649;48412;50295;57428;57617;67459;58095;76201;100079;76894;88215;69051;73845;88004;82332;106291;71295;78267;76887;79706;66410;31105;52474;41630;52980;47113;49880;47125;46752;44922;60229;58454
40;26317;29330;95840;38097;32955;38155;37248;31565;30653;27208;36612;35870;47527;39580;45123;36770;41447;65430;46923;62484;50081;43058;67093;70033;68194;41859;54210;55184;72042;66494;63267;43899;36769;24261;32246;37611;40652;30385;33678;33908;43474;35514;27098;23635
