dist,x,y,kinder,school,shop,restaurant
68,37.57056427,55.65169907,316,303,6295,1470
68,37.58404541,55.66126633,1282,300,212,62
68,37.60456467,55.64607239,772,817,4065,1803
74,37.56502914,55.67309952,1020,292,6404,3413
90,37.59950638,55.61897278,1644,967,4726,1392
89,37.5984726,55.62748337,1688,87,3822,8311
89,37.60918045,55.63365173,177,143,1636,3985
66,37.58466721,55.68578339,779,293,8286,1482
68,37.61026001,55.66155624,710,258,5235,3321
66,37.57273865,55.68276596,1295,257,8097,11711
66,37.57736588,55.68382263,1295,257,5287,1468
90,37.58243179,55.60772705,1012,84,10006,11159
77,37.65813828,55.57821274,1,665,244,1373
66,37.57344818,55.67976379,741,257,8598,7614
77,37.63934708,55.59207916,1,859,6293,4000
85,37.60680389,55.64315033,1201,75,6075,638
85,37.60719681,55.65388489,555,178,7041,5887
85,37.61358261,55.64944077,160,72,140,10311
85,37.60860825,55.64418411,1201,75,6672,638
68,37.60042572,55.65955734,390,295,10944,1474
66,37.59252548,55.68729019,1368,293,291,1481
68,37.60571671,55.66233444,710,258,85,6270
68,37.59775543,55.65838623,949,295,2500,1179
70,37.60571671,55.68146896,753,298,1092,1463
70,37.59851074,55.6860466,116,297,6074,3470
70,37.59841156,55.6873703,116,297,10891,3470
85,37.60765457,55.64714813,16,75,6672,763
85,37.61411285,55.64435959,331,72,2646,4117
85,37.61705017,55.65491486,1092,72,261,6737
68,37.58343506,55.66288757,187,300,10912,62
74,37.57315063,55.66885376,1407,127,2231,1480
68,37.59327316,55.65703583,949,158,2500,7127
68,37.58220673,55.65014648,57,303,672,10143
68,37.60363007,55.65201569,1616,776,8685,1488
70,37.59497833,55.68294907,787,298,292,1479
74,37.56535339,55.67039871,1020,292,2220,6383
74,37.57000732,55.67447662,1020,127,6404,3347
66,37.5766449,55.68100739,741,257,4551,7614
74,37.57145309,55.67245865,1407,127,6404,12703
74,37.5669899,55.65548325,201,261,4043,11662
74,37.56647491,55.65404129,201,261,2792,7200
68,37.58815384,55.66440964,187,295,5024,62
91,37.62416458,55.60081482,1641,89,3913,4023
91,37.60632324,55.59577179,255,774,6666,4038
74,37.56565857,55.65794754,1324,261,8442,1797
89,37.59313965,55.63031006,492,78,3889,4113
85,37.62026596,55.65859222,1113,148,10514,3992
89,37.60482407,55.62408447,1522,87,1633,4041
90,37.59072113,55.61654282,1034,968,6863,7745
68,37.58719254,55.65593338,397,300,10833,3383
85,37.60719681,55.65452957,555,178,7041,5887
85,37.60891342,55.64356613,1201,75,3820,638
85,37.61478043,55.6424942,331,72,8378,1762
70,37.60110474,55.67367172,1096,304,1095,1478
89,37.60469055,55.62863159,158,87,2653,4132
77,37.65633392,55.5766449,1,665,383,4879
85,37.61076355,55.6460495,16,75,6672,4117
89,37.59696579,55.63317871,475,701,1638,2113
68,37.56828308,55.64925003,316,303,2584,45
68,37.57699585,55.64836884,226,303,9139,11295
89,37.61142731,55.62960815,1625,197,678,1395
89,37.60793304,55.62416458,1522,716,5211,12438
89,37.60327911,55.63003159,475,197,2653,4132
89,37.59152985,55.62920761,492,78,3889,4113
68,37.58261108,55.65208435,57,303,210,5503
68,37.57649994,55.64719391,226,299,4384,10228
68,37.58574677,55.66465378,187,295,169,62
68,37.57096863,55.65488434,1442,777,8760,228
85,37.61441803,55.65603638,1113,148,10261,10195
85,37.60803986,55.64373016,1201,75,6075,638
80,37.61423111,55.69545746,115,79,5079,12489
91,37.61722183,55.59634018,289,89,6070,10004
90,37.58113861,55.61047745,970,84,3833,1388
91,37.58107376,55.59901047,834,868,3816,3939
90,37.58324051,55.60827255,970,84,10006,11159
91,37.58880615,55.60331726,834,870,1933,776
85,37.61879349,55.65542603,1113,72,261,11769
85,37.61673737,55.65197754,721,72,9486,5309
66,37.58621979,55.68722916,1368,293,1165,1482
68,37.58213425,55.65537262,1159,307,10833,8263
